uei,lat,lon
QN6MS4VN7BD1,42.358428955078125,-71.05976867675781
WL9FLBRVPJJ7,42.41843,-71.10616
WCUGNQQ8DZU1,39.73915,-104.9847
SZ32VTCXM799,47.60621,-122.33207
PBBNV32ZW7Q6,38.89511,-77.03637
RFRPFMNR8LA5,41.85002899169922,-87.6500473022461
JTFKX11JLHS8,17.727510452270508,-64.74697875976562
C148TBZATPA8,41.7923469543457,-71.3677749633789
DRTAEZWWJHM8,43.876468658447266,-69.63365936279297
NX9PXMKW5KW8,40.71427,-74.00597
WFVHMSF6BU45,32.295982360839844,-90.20465850830078
V913TCT2SFZ9,42.32558059692383,-87.84117889404297
WKAUE7NHR4L1,37.386051177978516,-122.08384704589844
NZVVQ8GNVX65,43.00298309326172,-71.25765228271484
KULSKCCZJT27,39.29037857055664,-76.61219024658203
G9QBQDH39DF4,34.42083,-119.69819
MQE2JHHJW9Q8,42.26258850097656,-71.80229187011719
TNKGNDAWB445,40.79339,-77.86
ZQ12LY4L5H39,38.89511,-77.03637
FL8UNYTG72D1,32.84727,-117.2742
RCNJEHZ83EV6,33.20984,-87.56917
SPE2YDWHDYU4,41.73548889160156,-111.83438873291016
MPYFY5UMSDP4,41.85002899169922,-87.6500473022461
P2TDH1JCJD31,33.76696014404297,-118.1892318725586
FA4VKPTJRLY8,30.44332,-91.18747
EKHKFP33NN53,33.14337158203125,-117.1661376953125
GYLUH9UXHDX5,36.165889739990234,-86.78443908691406
E6KZG3MNE1D5,43.59904479980469,-96.69390869140625
DPMGH9MG1X67,42.358428955078125,-71.05976867675781
RRCZRDT5DHP1,27.947519302368164,-82.45842742919922
NNJ6BMBTFGN5,32.84727,-117.2742
YM5EKEVEGB75,39.29037857055664,-76.61219024658203
HGAAKCE3A7P7,29.95465,-90.07507
F6G9C4HMNHW4,38.90705108642578,-77.0429458618164
Z1H9VJS8NG16,41.66113,-91.53017
XJUCJAYJWYV1,29.763280868530273,-95.36327362060547
UWNWSADJYYZ3,30.210474014282227,-95.52796936035156
X59NJBFL8BJ3,32.32963180541992,-90.19607543945312
HYWTVM5HNFM3,43.61349868774414,-116.20345306396484
LLLYTJ6LYD21,42.94881057739258,-72.29212188720703
TYVNMW8FNQQ3,42.68684005737305,-73.72928619384766
CJDNG9D14MW7,41.48038,-71.52256
C6T9BYG5EYX5,31.54932975769043,-97.14666748046875
Y8CWNJRCNN91,40.11059,-88.20727
M6K6NTJ2MNE5,42.33143,-83.04575
THL6A6JLE1S7,42.35843,-71.05977
TF2CMKY1HMX9,38.89511,-77.03637
F2VSMAKDH8Z7,35.14952850341797,-90.04898071289062
ELVQARY4EJZ4,38.58156967163086,-121.49440002441406
NVUWAFWQ57S5,39.04747009277344,-77.12494659423828
W6Q8XJV41Z98,43.073360443115234,-89.40813446044922
