uei,fiscal_year,paper_count,award_count
C4BXLBC11LC6,2022,111,49
C4BXLBC11LC6,2023,124,46
C4BXLBC11LC6,2024,106,50
C4BXLBC11LC6,2025,105,52
C4EPKSM22WQ6,2018,2,1
C4EPKSM22WQ6,2020,2,1
C4EPKSM22WQ6,2022,1,1
C4GJA1DTK7L1,2016,3,2
C4GJA1DTK7L1,2017,3,3
C4GJA1DTK7L1,2018,1,1
C4GJA1DTK7L1,2019,3,3
C4GJA1DTK7L1,2020,1,1
C4GJA1DTK7L1,2021,2,1
C4GJA1DTK7L1,2023,1,1
C4N1DL138V95,2016,6,2
C4N1DL138V95,2017,4,3
C4N1DL138V95,2018,3,1
C4N1DL138V95,2019,2,2
C4N1DL138V95,2020,5,4
C4N1DL138V95,2021,6,4
C4N1DL138V95,2022,5,4
C4N1DL138V95,2023,5,5
C4N1DL138V95,2024,2,2
C4N1DL138V95,2025,5,3
C4Q3HRMMMT94,2018,2,1
C4Q3HRMMMT94,2022,1,1
C4VMQLSU1LF4,2016,3,1
C4VMQLSU1LF4,2017,4,2
C4VMQLSU1LF4,2018,3,2
C4VMQLSU1LF4,2021,3,1
C4VMQLSU1LF4,2022,1,1
C5A9AGFXYW81,2021,1,1
C5BNR8SHXMM4,2016,1,1
C5BNR8SHXMM4,2018,1,1
C5BNR8SHXMM4,2020,1,1
C5BNR8SHXMM4,2021,1,1
C5BNR8SHXMM4,2022,3,1
C5BNR8SHXMM4,2024,1,1
C5BNR8SHXMM4,2025,1,1
C5LHMPRJ9J19,2016,128,40
C5LHMPRJ9J19,2017,118,42
C5LHMPRJ9J19,2018,151,59
C5LHMPRJ9J19,2019,128,60
C5LHMPRJ9J19,2020,170,57
C5LHMPRJ9J19,2021,160,71
C5LHMPRJ9J19,2022,144,67
C5LHMPRJ9J19,2023,174,86
C5LHMPRJ9J19,2024,164,82
C5LHMPRJ9J19,2025,184,87
C6AKYMKUT6N6,2016,1,1
C6AKYMKUT6N6,2018,1,1
C6KMJUPNY6R3,2022,1,1
C6T9BYG5EYX5,2016,10,5
C6T9BYG5EYX5,2017,22,6
C6T9BYG5EYX5,2018,17,6
C6T9BYG5EYX5,2019,16,9
C6T9BYG5EYX5,2020,33,15
C6T9BYG5EYX5,2021,30,17
C6T9BYG5EYX5,2022,51,22
C6T9BYG5EYX5,2023,43,27
C6T9BYG5EYX5,2024,49,23
C6T9BYG5EYX5,2025,59,30
C7AUT1DVMZD6,2020,1,2
C7AUT1DVMZD6,2023,1,3
C7AUT1DVMZD6,2025,2,1
C7EZL6RDKCS3,2025,1,1
C7JPQ5F3UUH7,2025,1,2
C8DQNL9C97V8,2017,2,3
C8DQNL9C97V8,2018,5,3
C8DQNL9C97V8,2019,1,2
C8DQNL9C97V8,2020,2,2
C8DQNL9C97V8,2021,5,4
C8DQNL9C97V8,2022,2,1
C8DQNL9C97V8,2023,2,2
C8DQNL9C97V8,2024,1,2
C8DQNL9C97V8,2025,1,1
C8DXD1N4HJZ3,2021,1,1
C8DXD1N4HJZ3,2022,3,1
C8DXD1N4HJZ3,2023,2,1
C8DXD1N4HJZ3,2024,2,1
C8DXD1N4HJZ3,2025,1,1
C8FUKQKC9JB4,2018,1,1
C8FUKQKC9JB4,2019,1,1
C8FUKQKC9JB4,2022,1,1
C8FUKQKC9JB4,2023,1,1
C8FUKQKC9JB4,2024,1,1
C8H9CNG1VBD9,2016,1272,486
C8H9CNG1VBD9,2017,1326,574
C8H9CNG1VBD9,2018,1425,633
C8H9CNG1VBD9,2019,1390,665
