uei,fiscal_year,works_count,cited_by_count
CGCDJ24JJLZ1,2020,418.4545523694954,15174.759845629493
CGCDJ24JJLZ1,2021,408.22516039161485,9632.82832182542
CGCDJ24JJLZ1,2022,400.62101060274784,7834.130057183844
CGCDJ24JJLZ1,2023,437.60071523074976,5373.101293372681
CGCDJ24JJLZ1,2024,409.0851535224986,2868.212879886445
CGCDJ24JJLZ1,2025,402.2052084754285,1179.1863708307296
CGCDJ24JJLZ1,2026,166.02393705692907,43.76912408234744
CJAJYT2KW771,2016,223.0,9192.0
CJAJYT2KW771,2017,247.0,12918.0
CJAJYT2KW771,2018,264.0,7270.0
CJAJYT2KW771,2019,252.0,6482.0
CJAJYT2KW771,2020,348.0,8893.0
CJAJYT2KW771,2021,289.0,7378.0
CJAJYT2KW771,2022,327.0,5646.0
CJAJYT2KW771,2023,365.0,4329.0
CJAJYT2KW771,2024,386.0,2165.0
CJAJYT2KW771,2025,385.0,870.0
CJAJYT2KW771,2026,147.0,58.0
CJDNG9D14MW7,2016,1314.0,37004.0
CJDNG9D14MW7,2017,1391.0,37430.0
CJDNG9D14MW7,2018,1599.0,45528.0
CJDNG9D14MW7,2019,1633.0,45744.0
CJDNG9D14MW7,2020,1809.0,43781.0
CJDNG9D14MW7,2021,1860.0,33367.0
CJDNG9D14MW7,2022,1979.0,22003.0
CJDNG9D14MW7,2023,2000.0,15463.0
CJDNG9D14MW7,2024,1771.0,9283.0
CJDNG9D14MW7,2025,2117.0,3062.0
CJDNG9D14MW7,2026,800.0,127.0
CL7KJX2VFHS9,2016,289.0,4904.0
CL7KJX2VFHS9,2017,344.0,5990.0
CL7KJX2VFHS9,2018,429.0,6173.0
CL7KJX2VFHS9,2019,443.0,6375.0
CL7KJX2VFHS9,2020,482.0,5155.0
CL7KJX2VFHS9,2021,484.0,4670.0
CL7KJX2VFHS9,2022,498.0,6149.0
CL7KJX2VFHS9,2023,469.0,2820.0
CL7KJX2VFHS9,2024,507.0,1537.0
CL7KJX2VFHS9,2025,509.0,522.0
CL7KJX2VFHS9,2026,267.0,16.0
CWKJEXDG79A7,2016,45.7325372543984,2170.838665904075
CWKJEXDG79A7,2017,51.1799031877478,4107.947328388856
CWKJEXDG79A7,2018,52.32004954589069,2868.73492001621
CWKJEXDG79A7,2019,45.47917139703331,1311.0416289356483
CWKJEXDG79A7,2020,51.43326904511289,1432.1505087561604
CWKJEXDG79A7,2021,46.49263482649366,1033.4793321921943
CWKJEXDG79A7,2022,44.33902503889042,510.7855684480176
CWKJEXDG79A7,2023,38.638293248175934,326.9686389296462
CWKJEXDG79A7,2024,36.10463467452505,269.96132102250135
CWKJEXDG79A7,2025,28.630341882254957,55.867171549001924
CWKJEXDG79A7,2026,12.288244082206774,3.9271707891588656
D33QGS3Q3DJ3,2016,940.0,33215.0
D33QGS3Q3DJ3,2017,1021.0,36524.0
D33QGS3Q3DJ3,2018,1142.0,34614.0
D33QGS3Q3DJ3,2019,1254.0,35742.0
D33QGS3Q3DJ3,2020,1280.0,27137.0
D33QGS3Q3DJ3,2021,1182.0,19598.0
D33QGS3Q3DJ3,2022,1131.0,15263.0
D33QGS3Q3DJ3,2023,1323.0,13503.0
D33QGS3Q3DJ3,2024,1227.0,7658.0
D33QGS3Q3DJ3,2025,1385.0,5303.0
D33QGS3Q3DJ3,2026,660.0,158.0
D3LHU66KBLD5,2016,9643.0,554513.0
D3LHU66KBLD5,2017,10266.0,495152.0
D3LHU66KBLD5,2018,10743.0,487958.0
D3LHU66KBLD5,2019,31240.0,460694.0
D3LHU66KBLD5,2020,29234.0,486030.0
D3LHU66KBLD5,2021,21415.0,340566.0
D3LHU66KBLD5,2022,18324.0,222143.0
D3LHU66KBLD5,2023,18482.0,153367.0
D3LHU66KBLD5,2024,21738.0,81944.0
D3LHU66KBLD5,2025,25062.0,30705.0
D3LHU66KBLD5,2026,10764.0,1404.0
D5S9JZ1KDP49,2016,3.0,37.0
D5S9JZ1KDP49,2017,2.0,114.0
D5S9JZ1KDP49,2018,5.0,13.0
D5S9JZ1KDP49,2019,5.0,179.0
D5S9JZ1KDP49,2020,15.0,99.0
D5S9JZ1KDP49,2021,6.0,229.0
D5S9JZ1KDP49,2023,3.0,0.0
D5S9JZ1KDP49,2024,9.0,18.0
D5S9JZ1KDP49,2025,4.0,20.0
D5S9JZ1KDP49,2026,3.0,0.0
DAY7Z8ZD48Q3,2016,1460.0,68617.0
DAY7Z8ZD48Q3,2017,1209.0,59695.0
DAY7Z8ZD48Q3,2018,1343.0,50566.0
DAY7Z8ZD48Q3,2019,1329.0,68296.0
DAY7Z8ZD48Q3,2020,1783.0,43055.0
DAY7Z8ZD48Q3,2021,1579.0,34530.0
DAY7Z8ZD48Q3,2022,1600.0,25264.0
DAY7Z8ZD48Q3,2023,1759.0,15346.0
DAY7Z8ZD48Q3,2024,2057.0,9519.0
DAY7Z8ZD48Q3,2025,1856.0,3630.0
DAY7Z8ZD48Q3,2026,1037.0,139.0
DBP4N9GHCA14,2016,11.087792236200471,1133.0967679562593
DBP4N9GHCA14,2017,14.867721407632448,307.0562463593244
DBP4N9GHCA14,2018,16.127697798109775,291.3065414783578
DBP4N9GHCA14,2019,15.623707241918845,249.6013229535583
DBP4N9GHCA14,2020,20.789610442875883,299.49638801646046
DBP4N9GHCA14,2021,19.907626969541752,321.16798193267044
DBP4N9GHCA14,2022,23.561558501926,270.51693103548195
DBP4N9GHCA14,2023,25.95551364383292,168.45884340681852
DBP4N9GHCA14,2024,38.17728463146298,139.10139350869682
DBP4N9GHCA14,2025,35.1533412943174,81.1424795467398
DBP4N9GHCA14,2026,17.639669466682566,2.015962224763722
DDL5KU1YZLP3,2016,0.17019836694150428,6.059061863117552
DDL5KU1YZLP3,2017,0.034039673388300856,0.7829124879309197
DDL5KU1YZLP3,2018,0.37443640727130945,2.110459750074653
DDL5KU1YZLP3,2019,0.10211902016490257,0.5786744476011145
DDL5KU1YZLP3,2020,0.238277713718106,4.186879826761006
DDL5KU1YZLP3,2021,0.34039673388300856,2.1444994234629537
DDL5KU1YZLP3,2022,0.34039673388300856,4.697474927585518
DDL5KU1YZLP3,2023,0.8509918347075214,35.23106195689139
DDL5KU1YZLP3,2024,1.0211902016490257,4.084760806596103
DDL5KU1YZLP3,2025,0.8509918347075214,2.587015177510865
DDL5KU1YZLP3,2026,0.27231738710640685,0.3063570604947077
DFNLDECWM8J8,2016,1392.0,29040.0
DFNLDECWM8J8,2017,1186.0,30016.0
DFNLDECWM8J8,2018,1181.0,27114.0
DFNLDECWM8J8,2019,978.0,21881.0
DFNLDECWM8J8,2020,1079.0,21919.0
DFNLDECWM8J8,2021,809.0,27860.0
DFNLDECWM8J8,2022,699.0,13153.0
DFNLDECWM8J8,2023,717.0,6895.0
DFNLDECWM8J8,2024,746.0,3939.0
DFNLDECWM8J8,2025,672.0,1573.0
DFNLDECWM8J8,2026,257.0,40.0
DKMDCB5HNBL7,2016,331.0,15590.0
DKMDCB5HNBL7,2017,386.0,17388.0
DKMDCB5HNBL7,2018,449.0,16227.0
DKMDCB5HNBL7,2019,474.0,14448.0
DKMDCB5HNBL7,2020,474.0,14290.0
DKMDCB5HNBL7,2021,536.0,10676.0
DKMDCB5HNBL7,2022,595.0,8588.0
DKMDCB5HNBL7,2023,593.0,5539.0
DKMDCB5HNBL7,2024,551.0,2917.0
DKMDCB5HNBL7,2025,601.0,1093.0
DKMDCB5HNBL7,2026,326.0,66.0
DLTJBDQBGBC9,2016,174.0,4500.0
DLTJBDQBGBC9,2017,183.0,4743.0
DLTJBDQBGBC9,2018,215.0,10905.0
DLTJBDQBGBC9,2019,197.0,5123.0
DLTJBDQBGBC9,2020,243.0,4716.0
DLTJBDQBGBC9,2021,300.0,4679.0
DLTJBDQBGBC9,2022,355.0,3923.0
DLTJBDQBGBC9,2023,394.0,3319.0
DLTJBDQBGBC9,2024,397.0,1756.0
DLTJBDQBGBC9,2025,452.0,711.0
DLTJBDQBGBC9,2026,243.0,22.0
DLUTVJJ15U66,2016,4.314335869128185,274.88482823302434
DLUTVJJ15U66,2017,4.0061690213333145,154.39159074523005
DLUTVJJ15U66,2018,4.314335869128185,176.8877706342556
DLUTVJJ15U66,2019,3.6980021735384443,67.79670651487147
DLUTVJJ15U66,2020,49.923029342769,129.1219092260507
DLUTVJJ15U66,2021,11.402173368410203,278.27466355876794
DLUTVJJ15U66,2022,4.314335869128185,43.14335869128185
DLUTVJJ15U66,2023,17.56551032430761,77.65804564430734
DLUTVJJ15U66,2024,9.24500543384611,46.53319401702542
DLUTVJJ15U66,2025,4.622502716923055,2.465334782358963
DLUTVJJ15U66,2026,1.2326673911794814,0.0
DLWBSLWAJWR1,2016,12597.0,442061.0
